City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,39.0,83,88,3.0,NZ,1595528386
Akdepe,42.06,59.38,78.8,57,27,6.93,TM,1595528386
San Quintín,30.48,-115.95,69.48,63,47,12.59,MX,1595528386
Upernavik,72.79,-56.15,46.33,74,82,11.45,GL,1595528386
Punta Arenas,-53.15,-70.92,39.2,80,40,13.87,CL,1595528327
Castro,-24.79,-50.01,73.87,46,20,6.44,BR,1595528386
Bethel,41.37,-73.41,84.99,66,20,10.29,US,1595528262
Lompoc,34.64,-120.46,66.0,77,65,3.36,US,1595528201
Egvekinot,66.32,-179.17,55.65,63,63,4.0,RU,1595528386
Kruisfontein,-34.0,24.73,55.99,64,0,2.75,ZA,1595528387
Ghoti,19.72,73.62,74.35,90,100,3.71,IN,1595528387
Pevek,69.7,170.31,48.61,72,4,7.56,RU,1595528387
Derzhavīnsk,51.1,66.32,72.54,52,38,4.05,KZ,1595528387
Mataura,-46.19,168.86,39.0,83,88,3.0,NZ,1595528387
Bambous Virieux,-20.34,57.76,69.01,60,75,18.34,MU,1595528387
Port Lincoln,-34.73,135.87,51.58,53,33,15.52,AU,1595528387
Cherskiy,68.75,161.3,62.06,67,35,8.52,RU,1595528388
Provideniya,64.38,-173.3,51.1,61,52,7.38,RU,1595528388
Palu,-0.89,119.87,74.55,81,43,2.46,ID,1595528388
Monrovia,6.3,-10.8,76.53,86,98,13.96,LR,1595528388
Rafai,4.95,23.92,70.16,95,70,2.51,CF,1595528389
Saldanha,-33.01,17.94,64.4,59,0,2.24,ZA,1595528389
Nikolskoye,59.7,30.79,59.0,62,40,6.71,RU,1595528389
Dolores,-36.31,-57.68,58.32,88,100,9.93,AR,1595528244
Ancud,-41.87,-73.82,46.4,62,0,8.05,CL,1595528389
Martapura,-3.42,114.85,77.0,100,75,1.12,ID,1595528389
Xiaoweizhai,26.19,107.51,70.36,93,56,6.04,CN,1595528389
